Case5;Case6;Case7;Case8;Case9;Case10;Triple
1.0;1.0;1.0;1.0;1.0;1.0; Acne caused hormonal imbalance
1.0;1.0;1.0;1.0;1.0;1.0; Acne caused irritants
1.0;1.0;1.0;1.0;1.0;1.0; Acne caused oily skin
1.0;0.0;1.0;1.0;0.0;0.0; Air blown mouthpiece
1.0;1.0;1.0;1.0;1.0;1.0; Alcohol cause suicide
0.0;1.0;1.0;1.0;0.0;1.0; Analysts assess frequency
0.0;1.0;1.0;1.0;0.0;0.0; Analysts using frequency
1.0;1.0;1.0;1.0;1.0;1.0; Asteroid threatened disaster
1.0;1.0;1.0;1.0;1.0;1.0; Asthma causes narrowing
1.0;1.0;1.0;1.0;1.0;1.0; Asthma swelling narrowing
1.0;1.0;1.0;1.0;1.0;1.0; Barrages make energy
0.0;0.0;1.0;0.0;0.0;0.0; Cancellations notified mail
1.0;1.0;1.0;1.0;1.0;1.0; Cancer causes illness
0.0;1.0;1.0;1.0;0.0;1.0; Changes discussed sub-committee
0.0;0.0;1.0;1.0;0.0;0.0; Concerns regarding data protection
1.0;1.0;1.0;1.0;1.0;1.0; Conditions criticised report
1.0;1.0;1.0;1.0;1.0;1.0; Considerations concerned cases
1.0;1.0;1.0;1.0;1.0;1.0; Dioxide released atmosphere
1.0;1.0;1.0;1.0;1.0;1.0; Discussion took function
1.0;1.0;1.0;1.0;1.0;1.0; Fog caused delays
0.0;0.0;1.0;1.0;0.0;0.0; Goods transported countries
1.0;1.0;1.0;1.0;1.0;1.0; Hiccups caused spasm
1.0;1.0;1.0;1.0;1.0;0.0; Highways falling disrepair
1.0;1.0;1.0;1.0;1.0;1.0; Infectious diseases caused parasites
1.0;1.0;1.0;1.0;1.0;1.0; Information gained test
1.0;1.0;1.0;1.0;1.0;1.0; Inhalation fumes irritation
1.0;1.0;1.0;1.0;1.0;1.0; Inhalation produces irritation
0.0;1.0;1.0;1.0;1.0;1.0; Joint problems caused osteoarthitis
0.0;0.0;1.0;0.0;0.0;0.0; Lactic acid made dextrose
1.0;1.0;1.0;1.0;1.0;1.0; Landslides caused deaths
1.0;1.0;1.0;1.0;1.0;1.0; Lasers using wavelengths
1.0;1.0;1.0;1.0;1.0;1.0; Lesions affecting hemiparesis
1.0;1.0;1.0;1.0;1.0;1.0; Lesions caused hemiparesis
1.0;1.0;1.0;1.0;1.0;1.0; Lesions caused leg weakness
1.0;1.0;1.0;1.0;1.0;1.0; Lesions sparing hemiparesis
0.0;0.0;1.0;1.0;0.0;0.0; Lymphoeytes drained lymphatics
0.0;1.0;1.0;1.0;0.0;0.0; Methadone gives buzz
0.0;0.0;1.0;0.0;0.0;0.0; Molten core dropped river
0.0;1.0;1.0;1.0;0.0;0.0; News programs commented violence
1.0;1.0;1.0;1.0;1.0;0.0; Noise regulations come force
0.0;0.0;1.0;1.0;0.0;0.0; Personality includes style
1.0;1.0;1.0;1.0;1.0;1.0; Power generated reaction
1.0;1.0;1.0;1.0;1.0;0.0; Pressure walking friction
1.0;1.0;1.0;1.0;1.0;1.0; Products fallen disuse
0.0;0.0;1.0;1.0;1.0;0.0; Proposals outlined conference
0.0;0.0;1.0;1.0;0.0;0.0; Proposals simplify conference
1.0;1.0;1.0;1.0;1.0;1.0; Rain caused cancellation
1.0;1.0;1.0;1.0;1.0;1.0; Recessions caused excess demand
0.0;0.0;0.0;1.0;0.0;0.0; Researchers synthesized ingredients
0.0;0.0;0.0;1.0;0.0;0.0; Responses obtained presidents
1.0;1.0;1.0;1.0;1.0;1.0; Roundworms caused parasite
1.0;1.0;1.0;1.0;1.0;1.0; Rumors leaked public
1.0;1.0;1.0;1.0;1.0;1.0; Sadness leads dissatisfaction
0.0;0.0;1.0;1.0;0.0;0.0; Scientists analysing warning
1.0;0.0;1.0;1.0;0.0;0.0; Scientists given warning
0.0;0.0;1.0;1.0;0.0;0.0; Seminars organised area
0.0;0.0;0.0;1.0;0.0;0.0; Sets denoted letters
0.0;1.0;0.0;1.0;0.0;1.0; Shampoos using acid
0.0;1.0;1.0;1.0;0.0;1.0; Stimulation produced latency
1.0;1.0;1.0;1.0;1.0;1.0; Storms lead losses
1.0;1.0;1.0;1.0;1.0;1.0; Stroke leading death
1.0;1.0;1.0;1.0;1.0;1.0; Swine flu leading disease
1.0;1.0;1.0;1.0;1.0;1.0; Tides caused gravitational pull
1.0;1.0;1.0;1.0;1.0;1.0; Tonsillitis caused micro-organisms
1.0;1.0;1.0;1.0;1.0;1.0; Tsunamis caused displacement
0.0;1.0;1.0;1.0;0.0;1.0; Twisters fill creations
0.0;0.0;1.0;0.0;0.0;0.0; Victims transported room
1.0;1.0;1.0;1.0;1.0;1.0; abscess caused infection
1.0;1.0;1.0;1.0;1.0;1.0; abuse resulted swelling
1.0;0.0;1.0;1.0;1.0;1.0; accident cause power outage
1.0;1.0;1.0;1.0;1.0;1.0; accident caused snarl
1.0;1.0;1.0;1.0;1.0;1.0; accident resulted death
0.0;1.0;1.0;1.0;0.0;0.0; acetoin distilled filtrate
0.0;0.0;1.0;1.0;0.0;0.0; acidity caused carbon dioxide
1.0;1.0;1.0;1.0;0.0;0.0; acne caused cosmetics
1.0;0.0;1.0;1.0;1.0;0.0; act promotes limitation
1.0;1.0;1.0;1.0;1.0;1.0; activation done source
1.0;0.0;1.0;1.0;1.0;0.0; administration established centres
1.0;1.0;1.0;1.0;1.0;1.0; ads inform dangers
1.0;1.0;1.0;1.0;1.0;1.0; advertising inform selections
0.0;1.0;1.0;1.0;1.0;1.0; agreements resulted diversion
0.0;0.0;1.0;0.0;0.0;0.0; aid delivered countries
0.0;1.0;1.0;1.0;1.0;1.0; aid flowing areas
1.0;1.0;1.0;1.0;1.0;1.0; air filled smell
1.0;0.0;1.0;1.0;1.0;0.0; air pressed lungs
0.0;0.0;1.0;0.0;0.0;0.0; aircraft departed airport
0.0;0.0;1.0;1.0;0.0;0.0; aircraft departed flight
1.0;1.0;1.0;1.0;1.0;1.0; airstrike resulted explosions
1.0;0.0;1.0;0.0;1.0;0.0; album completed singer
0.0;1.0;1.0;1.0;0.0;1.0; amount placed cylinder
1.0;1.0;1.0;1.0;1.0;1.0; analyzer identifies method
1.0;1.0;1.0;1.0;0.0;1.0; analyzer using method
0.0;0.0;1.0;0.0;0.0;0.0; anecdotes gathered workers
1.0;1.0;1.0;1.0;1.0;1.0; anger caused abuse
1.0;1.0;1.0;1.0;1.0;1.0; announcement caused stir
0.0;0.0;1.0;1.0;1.0;0.0; answer came paragraph
1.0;1.0;1.0;1.0;1.0;1.0; answer grows trend
0.0;0.0;1.0;0.0;0.0;0.0; answer popped riddle
1.0;1.0;1.0;1.0;1.0;1.0; anxiety caused accident
0.0;0.0;1.0;1.0;0.0;0.0; apparatus produces vessel
0.0;1.0;1.0;1.0;0.0;1.0; appellant killed malice
0.0;0.0;0.0;1.0;0.0;0.0; applicant accredited school
0.0;0.0;1.0;1.0;0.0;0.0; archives publish studies
0.0;0.0;1.0;0.0;0.0;0.0; area accommodated pen
0.0;0.0;1.0;1.0;1.0;1.0; areas added spaces
0.0;0.0;1.0;1.0;0.0;0.0; array developed group
0.0;0.0;0.0;1.0;0.0;0.0; article claiming music
1.0;1.0;1.0;1.0;1.0;1.0; article explains difficulties
0.0;0.0;1.0;1.0;0.0;1.0; article explore use
1.0;1.0;1.0;1.0;1.0;0.0; article explores impulsivity
0.0;0.0;1.0;0.0;0.0;0.0; article extracted book
1.0;0.0;1.0;1.0;1.0;1.0; article narrates experiences
1.0;1.0;1.0;1.0;1.0;1.0; article pointed problems
1.0;1.0;1.0;1.0;1.0;0.0; articles identified promotion
0.0;0.0;1.0;0.0;0.0;0.0; artist put can
0.0;0.0;0.0;1.0;0.0;0.0; artist restrained creations
0.0;0.0;1.0;1.0;0.0;0.0; artworks reveal view
0.0;0.0;1.0;1.0;0.0;0.0; assembly attaches cover
0.0;0.0;1.0;1.0;0.0;0.0; association assembled kits
0.0;0.0;1.0;1.0;0.0;0.0; associations turning receiverships
0.0;1.0;1.0;1.0;0.0;0.0; atmospheric chemistry include acid rain
1.0;1.0;1.0;1.0;1.0;1.0; attacker killed instrument
0.0;0.0;1.0;1.0;0.0;0.0; attractions advertised billboards
0.0;0.0;1.0;0.0;0.0;0.0; aunt fell health
0.0;0.0;1.0;0.0;0.0;0.0; author identifies devil
0.0;1.0;1.0;1.0;0.0;0.0; avenger killed rifle
0.0;0.0;1.0;1.0;0.0;0.0; award bestowed organization
0.0;0.0;0.0;1.0;0.0;0.0; award given scholar
0.0;0.0;1.0;0.0;0.0;0.0; awards honour projects
0.0;0.0;0.0;1.0;0.0;0.0; bacteria sleeping sickness
0.0;0.0;1.0;1.0;1.0;0.0; bait got frig
1.0;1.0;1.0;1.0;1.0;1.0; ban caused debate
0.0;0.0;1.0;0.0;0.0;0.0; bark composed phloem
1.0;0.0;1.0;1.0;1.0;1.0; basin sunk depression
0.0;0.0;1.0;1.0;0.0;0.0; basis consisting population
1.0;1.0;1.0;1.0;0.0;0.0; bastard face velocity
0.0;1.0;1.0;1.0;0.0;0.0; bastard peels velocity
1.0;0.0;1.0;1.0;1.0;0.0; batteries provide power
1.0;1.0;1.0;1.0;1.0;1.0; beam generated emission
0.0;1.0;1.0;1.0;0.0;1.0; beginning explored documents
0.0;0.0;1.0;1.0;0.0;0.0; benefits described sentence
0.0;0.0;1.0;0.0;0.0;0.0; bill regulating commerce
0.0;1.0;1.0;1.0;0.0;0.0; binder goes trials
0.0;0.0;0.0;1.0;0.0;0.0; blank made carton
1.0;1.0;1.0;1.0;1.0;1.0; blast caused mishandling
1.0;1.0;1.0;1.0;1.0;1.0; blaze triggered fault
0.0;0.0;1.0;0.0;1.0;0.0; blazes denote trail
1.0;1.0;1.0;1.0;1.0;1.0; bleeding caused injury
1.0;1.0;1.0;1.0;1.0;1.0; blisters appear herpes simplex virus
0.0;1.0;0.0;1.0;0.0;1.0; blisters caused antibodies
1.0;1.0;1.0;1.0;1.0;1.0; blisters caused herpes simplex virus
0.0;0.0;0.0;1.0;0.0;0.0; blogger going conversation
1.0;1.0;1.0;1.0;1.0;1.0; bloodshed caused growth
0.0;0.0;1.0;1.0;0.0;0.0; body abandoned laundry bag
0.0;0.0;0.0;1.0;0.0;0.0; body appointed elders
0.0;0.0;1.0;1.0;0.0;0.0; body comprised phrase
0.0;1.0;0.0;1.0;0.0;1.0; body found drum
0.0;0.0;1.0;0.0;0.0;0.0; body specialized traders
0.0;0.0;0.0;1.0;0.0;0.0; body unleashes passenger
1.0;1.0;1.0;1.0;1.0;1.0; bomb dropped region
1.0;1.0;1.0;1.0;1.0;1.0; bomb killed bin
1.0;1.0;1.0;1.0;1.0;1.0; bombing resulted deaths
0.0;1.0;1.0;0.0;0.0;0.0; bombs thrown cars
0.0;0.0;1.0;1.0;0.0;0.0; book asserts relationship
0.0;0.0;1.0;0.0;0.0;0.0; book involves process
0.0;1.0;1.0;0.0;0.0;1.0; book made study
0.0;0.0;1.0;0.0;0.0;0.0; book provides role
0.0;0.0;1.0;0.0;0.0;0.0; book takes phases
0.0;0.0;1.0;0.0;0.0;0.0; books charted transformation
0.0;1.0;0.0;1.0;0.0;0.0; books dealing identification
1.0;0.0;1.0;0.0;0.0;0.0; boom hinged fitting
0.0;0.0;1.0;0.0;0.0;0.0; boom mounting fitting
0.0;0.0;1.0;0.0;0.0;0.0; bottle put container
0.0;0.0;1.0;0.0;0.0;0.0; box arrived braces
0.0;0.0;1.0;1.0;0.0;0.0; box contained system
0.0;0.0;1.0;0.0;0.0;0.0; box sending system
